127.0.0.1 - - [28/Feb/2018:00:04:31 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:00 +0900] "GET /cityRack/ HTTP/1.1" 200 6001
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:00 +0900] "GET /logo.jpg HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:03 +0900] "GET /cityRack/views/admin/admin_member.jsp HTTP/1.1" 200 9901
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:03 +0900] "GET /cityRack/views/logo.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:07 +0900] "GET /cityRack/views/admin/admin_member.jsp HTTP/1.1" 200 9901
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:05:07 +0900] "GET /cityRack/views/logo.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:06:01 +0900] "GET /cityRack/views/admin/admin_member.jsp HTTP/1.1" 200 9901
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:06:01 +0900] "GET /cityRack/views/logo.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:08:35 +0900] "GET /cityRack/views/admin/admin_member.jsp HTTP/1.1" 200 9901
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:08:35 +0900] "GET /cityRack/views/logo.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:08:59 +0900] "GET /cityRack/views/admin/admin_member.jsp HTTP/1.1" 200 9939
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:08:59 +0900] "GET /cityRack/views/logo.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:09:00 +0900] "GET /cityRack/views/admin/admin_grade.jsp HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:09:08 +0900] "GET /cityRack/views/admin/admin_grade.jsp HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:09:13 +0900] "GET /cityRack HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:09:13 +0900] "GET /cityRack/ HTTP/1.1" 200 6037
0:0:0:0:0:0:0:1 - - [28/Feb/2018:00:09:13 +0900] "GET /logo.jpg HTTP/1.1" 404 1010
